9EB3,4E04
FBC5,5B76
FA78,21983
FEA8,21988
9350,21996
FBC7,5B7C
C6CB,5B80
FA79,5B82
9E67,5B90
8CD9,5B96
FBD2,5B9D
8962,5B9E
8963,5B9F
FA4C,219DB
FC7D,5BAA
92F7,219F3
8773,5BB7
9F6B,5BC3
9B40,21A2D
FBCE,21A34
FBCC,5BD5
9BC2,3762
9B41,21A45
FEAD,21A4B
FEAE,5BD7
876D,5BDB
8761,21A63
9A7B,376F
FBD1,5BF3
FB75,5BFF
FBD4,5C05
FBD5,21B44
FBD6,5C13
FBD8,5C14
8B5D,5C1C
934C,5C1E
9AE2,5C20
8BC9,5C23
8BC2,21BC1
9A7C,21BC2
9B42,21C2A
FBDB,5C49
9FC9,5C4A
9F44,5C53
8B60,3797
9B43,21C70
98ED,5C5E
9E79,21CA2
FBD9,21CA5
9B44,21CAC
934B,37A0
8BC3,2F878
8CE9,5C78
N/A,5C83
A0A7,21D46
FBDD,5C85
8DF2,5C99
8964,5C9A
FDF2,5C9C
877B,21D53
876E,21D5E
934D,5C9E
FBE7,5CBA
A0F2,5CC1
9868,5CC2
9ABD,37B9
91B7,37BE
9BF3,21D90
9F58,5CD1
8CE6,5CD5
8D73,5CE5
8C79,21DB6
935E,21DBA
89CB,21DCA
9F53,21DD1
FBDE,5CE9
FBDF,5CEF
8C48,5CF5
8774,5CFC
8D4B,37D6
93D7,21DEB
FBE1,21DF9
FBE3,5D10
8DA8,5D15
FBE4,5D18
9C75,5D2C
9878,5D2F
FED0,21E1C
8CF1,21E23
FBE2,21E37
FCE3,21E3D
8D60,5D3E
FBE5,5D46
8D61,5D48
8D62,5D56
A0A1,5D57
9C40,5D5B
9074,21E89
FBE6,21EA4
9BB7,21EA8
98AD,5D70
9EEA,5D74
95B4,37F2
FEC5,37F8
9B45,21EC8
9B47,21ED5
8CEC,5D78
8CD4,5D7B
9CEB,5D85
FBE0,5D8B
9F51,5D8E
9EF0,37FB
8D65,5DA4
8D64,380F
9F50,21F0F
9B48,21F15
9CF1,5DAB
FC58,5DB6
8D66,5DB9
9269,3819
FC5B,21F6A
9654,5DC1
8D67,3820
98A9,21F9E
9CFD,21FA1
FBE8,5DD7
C6CC,5DDB
884C,21FE8
FBEA,382D
9FCE,5DF5
9B4B,22045
FBEC,22049
FBEF,3836
FBFC,5E09
9AE4,5E0B
8D68,3838
9F75,5E12
8C69,2207E
9BA8,2209A
FBF1,5E2E
8AD5,220C7
8D69,5E42
934F,5E48
FA73,220FC
FD59,2212A
934E,5E5E
93EB,3863
91A2,2215B
FBED,22173
9CA9,2217A
FBF4,5E7A
8D42,221C1
9BC3,221C3
C6CE,5E7F
FBC3,5E83
8965,5E86
8C7A,5E92
8C7B,5E99
877A,3875
8AE1,22208
8D6A,5EBD
9DFB,5ED0
9B4E,2227C
9353,5ECD
FBFD,5EF4
9059,5EF8
FC40,5EF9
FC42,38A0
FC41,5EFB
FC43,5EFC
95D0,22321
905F,22325
9361,5F0C
FC46,5F0D
9362,5F0E
97EE,223BD
8D6B,5F25
FC4E,223D0
FC48,2F894
9B4F,223D7
9B50,223FA
FC4C,5F3A
8CFE,5F3B
9166,38C3
95B8,5F4D
C6D0,5F50
8BCA,5F51
9EC6,22465
987A,5F5C
FC50,22471
C6D1,5F61
FC51,5F63
FACD,38CC
FD73,2248B
FDA7,22491
93DD,38D1
9DA2,224B0
FC54,5F72
87D1,224BC
8D52,38D4
87D3,224C1
FAAF,5F7B
87D4,224C9
87D5,224CC
87D2,9FC8
87D6,9FC9
8D6C,5F83
FA58,224ED
FA5E,22513
A059,2251B
FA61,5FA4
FC57,5FA7
FA75,22530
9B70,5FB1
FBBE,22554
A051,5FBA
9CA2,2258D
8C7C,5FC2
8BCB,5FC4
8BCC,38FA
9370,225AF
936E,5FDB
9371,225BE
FCD5,5FDF
8D6D,3908
FCA9,6023
FC61,6031
8966,603B
8D6E,3914
9377,2261B
FEEF,2261C
936D,2262B
FACB,604A
F9DA,6052
937A,6075
A0E0,6077
96A8,3927
FC5D,22668
936B,607E
FC6B,609E
A0DC,60A4
N/A,60A6
9468,60A7
FCA6,3932
90B8,2267A
8AFC,22696
FB41,22698
FC6D,60B3
8D71,60D7
FD64,60DE
99BA,60E3
9AD0,60E7
9A61,60E8
A0E5,60E9
8D6F,393F
8D70,394D
9E6B,226F4
94E3,226F5
8EE2,226F6
8C7D,22712
8ED7,22714
9C4D,2271B
96A3,2271F
A05B,60FD
96AC,6107
9740,610C
9EF1,6119
N/A,6120
8C4D,6122
FC64,3963
9B51,2272A
8AC3,22775
96AA,22781
9F7E,6130
8D72,613D
FC76,6142
96A9,6150
8CF3,3978
8CE2,22796
FC68,227B4
8B6D,227B5
FD67,227CD
FC77,2F8A6
A06E,6159
FCAA,615C
FBCD,6160
FC74,6164
A074,616F
A071,617D
FC79,6181
FC7C,6187
9060,3980
8AE9,22803
9C50,6195
9379,6198
9378,6199
A0DD,619C
8D77,61CF
8D74,3989
97C3,398A
8AD0,3992
FCA1,2285F
936C,22860
9B52,22871
8D75,61B7
8D76,61B9
9374,61C0
FCA5,61D0
FCA2,61D3
9274,3999
FE70,228AD
FCA8,228C1
90C3,61DA
A079,61E2
9BBE,399B
FCE9,228F7
9CC8,39A1
9CBA,39A4
9CB4,22926
8AEA,22939
9B53,2294F
9B55,22967
96AB,2296B
FCA7,22980
9B56,22993
8D78,39B8
8D79,622C
8BFC,6237
A076,6239
8BCD,624C
8ABC,22A66
9F5A,6268
9FF4,6282
9FBA,6285
8D7A,6290
9E45,629D
93B0,62A4
A075,62A6
87DD,62C1
9B46,62C3
FCAE,62C5
FCB0,62D5
FA51,62DF
8D7B,62E5
9EB9,39DC
8ACB,22ACF
9B57,22AD5
8D7C,6318
955A,39E2
91B4,39E5
8A48,39EC
89CD,22AE6
9B59,22AE8
9B5B,22B0E
93A5,22B22
9ED6,632E
93AC,6331
9F5B,6335
93A9,6337
N/A,635D
A07C,6364
8D7D,39F8
9B5D,22B3F
9E4F,22B43
93A3,22B6A
FCB2,636C
8AC1,6379
9FB4,637F
FCAC,638B
9E4C,63B9
8A7D,39FB
8AC2,39FE
FD4A,3A01
8DA1,3A03
8AD1,3A06
8A7B,22BCA
8B42,22BCE
8FC5,63C1
93AD,63D1
9DC3,63DE
8DA2,63E2
9D4A,63E6
FCB6,63F8
8DA3,63FB
9E4B,63FC
9E4D,63FE
FCB4,3A17
8B47,3A18
9750,22C26
8FB3,22C27
8A50,22C38
9B60,22C4C
8B45,22C51
8B46,22C55
8DA4,6407
8AFD,6432
FCB5,6438
FCC3,643A
93B2,643B
93A4,3A29
9EDA,3A2A
9DFE,22C62
9B62,22C88
937B,22C9B
93B1,22CA1
8A60,22CA9
8AD8,22CB2
8DA5,645A
93A1,6471
8AC6,647C
8A51,3A34
9B63,22CB7
8A69,22CC2
8A47,22CC6
8ACC,22CC9
937C,22D07
9B65,22D08
9B66,22D12
8A5B,648D
894D,6491
FED4,64AF
8A78,64B4
93AB,64B6
8A72,22D44
8A7A,22D4C
93AF,22D67
8DA7,64C0
9F45,64D3
8A56,64DD
8EE6,64E7
8DA6,3A4B
9EC5,3A52
FCC4,3A57
8AB0,22D8D
9B68,22D95
9EA3,22DA0
FAEC,22DA3
8B77,22DA4
9B67,22DB7
FCBF,64E1
8AA4,64EA
A078,3A5C
94B5,3A5E
8B59,22DEE
FCC0,64E5
FCC2,3A66
8A6B,3A67
FCB1,22E0D
8943,650A
93F3,6511
FCBB,22E36
9B69,22E42
93A8,22E78
FCAB,651E
9EA2,651F
8AE0,22E8B
9E51,22EB3
9DC7,6530
C6D2,6534
8BCE,6535
8F5F,22EEF
FDC2,2304B
FCC5,654D
N/A,655A
FCCB,655F
8DAB,3A97
9B6A,22F74
93B3,656B
FCCA,656D
9B6B,22FCC
97EC,22FE3
FAE8,3AAB
FCC9,6585
8DAC,6586
9B6C,23033
FBC6,6588
8967,6589
FE4E,23044
8C7E,658B
9D65,295B0
9B6D,23066
9167,2307D
FCCC,2307E
93B6,2308E
8DAD,3ABD
90E4,230B7
90E5,230BC
FCCD,65B5
9EF2,230DA
9CF3,65BE
FCD0,65D1
93CA,23103
95BB,65D4
FCD3,65E0
FCD4,65E3
8BBC,2313D
8DAE,65FF
FCD7,6618
93DB,661E
FE63,6623
93D5,6630
FC49,3ADE
93C1,3AE0
8F46,2317D
93CF,23182
FCDA,6644
9B71,6648
FCDD,664B
8764,664D
8DAF,6653
FCDB,231A4
FCDC,231A5
FAF2,6657
87B5,6660
93D8,6663
FCDF,6667
906F,3AF0
8DB0,3AF2
93C0,231B3
FCE6,231C8
96E7,231C9
9C52,2F8CD
93D3,666B
FCE1,6673
8E76,667D
87A2,3AF5
947E,3AFB
87A7,231EA
FCD8,231F7
FCD9,231F8
FDA6,231F9
93CE,2320F
FC62,6685
93D1,668E
8DB1,6692
9479,3B19
95F1,23225
9CE9,2322F
FCE4,23231
94AF,23232
FA77,23233
93CC,23234
9859,669A
FB52,66A4
90FA,3B0E
8CE1,23256
87A9,2325E
905A,23262
FB53,66AD
FB4D,66B3
9CBF,66B6
8C54,23281
FB51,2328A
9B72,66BF
FB50,66CD
93BF,23289
93B9,232AB
FED7,232AC
93B7,232AD
8C6D,9FA7
93BE,66CE
8DB2,3B22
93D9,232D2
93BB,232E0
93DA,232E1
8CDB,66E7
FCEE,3B2B
98A3,23300
90D1,2330A
9B6E,2331F
9DF1,66F1
FCEB,6702
A0BB,670C
9B7E,670E
8DB3,6716
8C52,6719
9AE8,671E
8EDC,6725
FA70,233B4
9CF9,6736
FA50,6744
98E7,6761
FCF3,6762
FCF2,6767
8DB4,3B42
9BEB,233CC
8CCA,676B
8775,676E
87BA,6782
93E5,678F
9A59,67A0
8DB5,67A4
FD4D,67AC
9B6F,233DE
FCFC,233E6
8B40,233F4
A07B,233F5
8CA1,233F9
97F7,233FA
93E2,233FE
FCD6,23400
FD5E,67B1
8F7D,67BF
9547,67D6
FCF6,67D7
9250,67F9
8968,67FE
8DB6,6800
FCFB,6801
A07D,6802
98FC,6803
8969,6804
FE4F,680D
9256,6810
FAC9,681B
93E8,681E
FCF8,6822
9CE3,6836
FDA9,6837
FC44,683E
9640,6847
8DB8,684A
9B4A,6855
8FB9,6856
FCFE,685D
896A,6865
8DB7,3B58
91B3,3B60
9559,2343F
93A6,23450
FD40,2346F
935F,23472
8DB9,6884
917E,6888
93F4,6898
FB7C,68A6
93E7,68B6
97EF,68B9
FE4A,68BD
N/A,68C1
8DBB,3B71
8DBA,3B72
FD45,68C3
96A5,68C5
FEE0,68CA
FD48,6900
FD47,6901
FEF2,6902
FE6A,6903
8DBD,6909
9BA1,6918
8CA2,6919
9AB7,691A
8EFC,691B
9FA1,692C
8DBC,3B7B
9044,3B7C
FD4C,3B80
97F2,234E5
9C76,23519
8EF8,23530
FD51,6936
FAAD,693E
8DBE,6943
89A4,6946
9AD9,6955
FD4E,6961
8DC0,6964
97F0,6967
93B4,6972
FD44,6973
9FA7,6980
8DC2,6985
99B6,698A
9B4C,69E9
874B,3B95
93E4,3B96
